,Regression_Volume,ARIMA_Volume,Holts_winter_Volume,Ses_Volume,Regression_2lag_Volume
0,201164.59162154535,267231.1372801561,207931.1967376755,259756.0,185443.8827977406
1,190553.63045557012,282154.1509446539,194435.81595941706,259756.0,195071.20917963298
2,188298.71888935586,302615.5130238041,190649.51026069678,259756.0,205680.7768478536
3,196359.68750786237,322419.25742290495,197737.86515580458,259756.0,205566.15543975006
4,207455.23289584642,341946.36162366666,207719.00863868164,259756.0,191485.1350523603
